States,2009,2010,2011,2012,2013,2014,2015,2016,Total,Types,StateCode
HimachalPradesh,2744,2771,2805,3963,5557,5753,5907,4821,,Light Motor Vehicles(Passengers),HP
Jammu&Kashmir,19673,10958,12420,13759,16407,17592,19777,20744,,Light Motor Vehicles(Passengers),JK
Jharkhand,0,160778,180934,202638,227414,55451,63743,98924,,Light Motor Vehicles(Passengers),JH
Karnataka,247077,237295,259429,285408,320482,349144,380790,414661,,Light Motor Vehicles(Passengers),KA
Kerala,448649,491879,544485,601507,666808,703646,731417,610235,,Light Motor Vehicles(Passengers),KL
MadhyaPradesh,60751,67488,76207,86068,96817,108345,122095,124987,,Light Motor Vehicles(Passengers),MP
Maharashtra,598013,626332,640700,640040,655299,658977,695619,703030,,Light Motor Vehicles(Passengers),MH
Manipur,4071,7266,9954,11854,14030,17834,19688,10466,,Light Motor Vehicles(Passengers),MN
Meghalaya,4842,5348,6000,6744,7674,18718,19542,20697,,Light Motor Vehicles(Passengers),ML
Mizoram,2105,2219,2477,2955,3554,4305,4548,4840,,Light Motor Vehicles(Passengers),MZ
Nagaland,13143,13403,14284,14429,15328,16344,17065,18363,,Light Motor Vehicles(Passengers),NL
Orissa,49896,57456,62830,74313,78131,91847,105951,121506,,Light Motor Vehicles(Passengers),OR
Punjab,53670,57879,57879,66734,66734,66734,66734,1034061,,Light Motor Vehicles(Passengers),PB
Rajasthan,103270,112986,123328,134345,145422,156669,167504,180107,,Light Motor Vehicles(Passengers),RJ
TamilNadu,215542,238682,291605,301982,319074,338533,361045,381488,,Light Motor Vehicles(Passengers),TN
Tripura,16968,15749,18074,19203,23599,15732,18866,22322,,Light Motor Vehicles(Passengers),TR
UttaraKhand,12755,11622,13820,13004,14077,14420,16128,20301,,Light Motor Vehicles(Passengers),UT
UttarPradesh,105096,123706,146351,175649,195194,220024,252552,275093,,Light Motor Vehicles(Passengers),UP
WestBengal,42312,48370,58633,63424,78452,81914,84089,76934,,Light Motor Vehicles(Passengers),WB
A.&N.Islands,2884,2950,3248,3803,4107,4241,4406,4652,,Light Motor Vehicles(Passengers),AN
Chandigarh,0,0,0,0,2664,2488,2659,4521,,Light Motor Vehicles(Passengers),CH
D.&N.Haveli,579,605,620,632,647,650,654,570,,Light Motor Vehicles(Passengers),DN
Daman&Diu,1151,1173,1216,1230,1245,1263,1280,1292,,Light Motor Vehicles(Passengers),DN
Delhi,179640,182784,190693,68653,11407,11307,11301,198137,,Light Motor Vehicles(Passengers),DL
Lakshadweep,321,321,366,420,479,487,566,652,,Light Motor Vehicles(Passengers),LD
Puducherry,5062,5124,5217,5221,6321,6382,6431,6685,,Light Motor Vehicles(Passengers),PY
AndhraPradesh,428161,455543,498810,555539,554910,291752,313078,342028,,Goods Carrier Vehicles(a),AP
ArunachalPradesh,2956,2956,0,0,0,0,0,21396,,Goods Carrier Vehicles(a),AR
Assam,144188,156605,171878,191479,69342,226612,243409,254929,,Goods Carrier Vehicles(a),AS
Bihar,120588,66485,73472,83191,103211,109010,123744,141242,,Goods Carrier Vehicles(a),BR
Chhatisgarh,107791,116922,127610,141441,155981,171840,186960,204692,,Goods Carrier Vehicles(a),CT
Goa,42755,45258,48824,53842,56245,57711,59242,60833,,Goods Carrier Vehicles(a),GA
Gujarat,58598,626344,678804,750491,818484,875103,942209,1008864,,Goods Carrier Vehicles(a),GU
Haryana,327416,352532,389546,417632,445020,479951,516633,550506,,Goods Carrier Vehicles(a),HR
HimachalPradesh,86397,92459,99294,96855,128017,136760,143008,144977,,Goods Carrier Vehicles(a),HP
Jammu&Kashmir,66464,78347,82206,89894,96981,105179,112879,122722,,Goods Carrier Vehicles(a),JK
Jharkhand,182995,316974,353305,393891,412428,105786,117759,158508,,Goods Carrier Vehicles(a),JH
Karnataka,366597,377495,415491,454582,506340,555255,606352,657987,,Goods Carrier Vehicles(a),KA
Kerala,358382,320248,360981,400221,443119,476353,499316,556795,,Goods Carrier Vehicles(a),KL
MadhyaPradesh,162226,177054,195627,217618,242811,263039,297188,374592,,Goods Carrier Vehicles(a),MP
Maharashtra,845617,896397,973788,1067825,1142091,1273256,1360214,1396713,,Goods Carrier Vehicles(a),MH
Manipur,9461,10510,11456,12653,17177,17328,18679,18649,,Goods Carrier Vehicles(a),MN
Meghalaya,24172,26327,29122,32661,35700,38544,39826,312186,,Goods Carrier Vehicles(a),ML
Mizoram,6740,7510,8706,10479,11510,12775,14047,20549,,Goods Carrier Vehicles(a),MZ
Nagaland,75752,82074,103126,101807,109794,105199,110607,135328,,Goods Carrier Vehicles(a),NL
Orissa,178649,196533,219691,239749,267615,285887,303035,324105,,Goods Carrier Vehicles(a),OR
Punjab,159251,169553,169553,201758,201758,201758,201758,352427,,Goods Carrier Vehicles(a),PB
Rajasthan,318118,346981,385796,431537,478379,467758,564152,617367,,Goods Carrier Vehicles(a),RJ
Sikkim,3505,4009,4370,4877,4404,4465,4735,5159,,Goods Carrier Vehicles(a),SK
TamilNadu,649136,685040,744663,821108,896985,924082,946232,972559,,Goods Carrier Vehicles(a),TN
Tripura,14343,16631,18502,19620,22012,16029,16772,18602,,Goods Carrier Vehicles(a),TR
UttaraKhand,27807,34419,39169,50456,52098,58232,62789,84657,,Goods Carrier Vehicles(a),UT
UttarPradesh,240433,268617,307058,338977,400061,467786,511631,562503,,Goods Carrier Vehicles(a),UP
WestBengal,251120,222716,248776,281995,436839,468719,495790,407229,,Goods Carrier Vehicles(a),WB
A.&N.Islands,2355,2366,2429,2484,2519,2564,2638,2730,,Goods Carrier Vehicles(a),AN
Chandigarh,11538,17676,24331,25704,27077,9416,10031,10668,,Goods Carrier Vehicles(a),CH
D.&N.Haveli,10100,10809,11627,12315,13164,13748,14242,9611,,Goods Carrier Vehicles(a),DN
Daman&Diu,5907,6242,6920,7252,7575,5542,5897,6308,,Goods Carrier Vehicles(a),DN
Delhi,208294,226256,242331,129339,131715,142203,153406,281159,,Goods Carrier Vehicles(a),DL
Lakshadweep,452,494,590,728,879,1190,1337,1202,,Goods Carrier Vehicles(a),LD
Puducherry,14660,15544,16643,18393,15228,15781,16113,13724,,Goods Carrier Vehicles(a),PY
