Airports,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov ,Dec,YearNo,Airports1,Name2
RAJAHMUNDRY,0,0,0,12407,12972,11840,22960,19478,18956,22231,20407,22424,2015,RAJAHMUNDRY,
COIMBATORE,90843,115588,126936,130271,141857,129212,125638,128393,125938,125906,130322,129980,2015,COIMBATORE,
IMPHAL,52796,48280,55927,52793,59703,63528,61390,58195,60705,63722,65817,72094,2015,IMPHAL,
JAIPUR,178931,180866,184207,183831,195668,186450,190323,197434,200781,209285,227342,244825,2015,JAIPUR,
AMRITSAR,58100,64482,69909,71572,65220,61379,65689,67657,73839,77526,78691,82716,2015,AMRITSAR,
BANGALORE,0,0,0,0,0,0,0,1279147,0,0,0,1421886,2015,BANGALORE,
MADURAI,38546,35309,37044,38055,40653,37660,45109,47055,46851,47996,53710,47229,2015,MADURAI,
PUNE,365115,352528,358572,401146,427925,398740,422008,424137,415742,424958,433152,453101,2015,PUNE,
GWALIOR,0,0,0,743,715,682,601,653,692,723,3,298,2015,GWALIOR,
BHOPAL,39014,40715,43620,47888,52630,50071,53080,54941,52834,53595,60354,67890,2015,BHOPAL,
DIMAPUR,0,0,0,6425,8884,9764,9684,7826,7566,9646,10082,12425,2015,DIMAPUR,
NAGPUR,0,0,0,0,0,0,0,116094,0,0,0,147160,2015,NAGPUR,
JUHU,0,0,0,15070,14874,13050,14771,14028,13618,14758,13854,14842,2015,JUHU,
MUMBAI,0,0,0,0,0,0,0,2392728,0,0,0,2770303,2015,MUMBAI,
DELHI (DIAL),2313095,2331085,2466999,2592177,2838921,2732359,2719397,0,2617466,2798462,2939518,0,2015,DELHI,DIAL)
KHAJURAHO,0,0,0,4502,1257,949,1642,2771,2411,6334,8851,7299,2015,KHAJURAHO,
PORTBLAIR,81650,70442,77983,76550,73437,65170,51412,56037,58606,76990,79779,77592,2015,PORTBLAIR,
HUBLI,0,0,0,1535,3037,2161,2705,2917,2725,3013,4177,4583,2015,HUBLI,
TIRUPATI,0,0,0,19438,26190,26617,31446,35299,31879,31116,32317,34687,2015,TIRUPATI,
GUWAHATI,187006,184386,201795,216580,217740,221999,222849,240043,206617,226958,218301,248249,2015,GUWAHATI,
AURANGABAD,0,0,0,23806,23693,20655,22442,26018,24984,24804,25739,27390,2015,AURANGABAD,
TIRUPATHI,23327,20208,23965,0,0,0,0,0,0,0,0,0,2015,TIRUPATHI,
VIJAYAWADA,0,0,0,30492,29945,31245,34900,30100,28591,30933,30737,33732,2015,VIJAYAWADA,
BHUNTAR,0,0,0,2046,2598,1926,1284,960,1618,2103,1764,1761,2015,BHUNTAR,
BHUJ,0,0,0,13252,11823,9653,10835,11775,11516,12336,13603,15075,2015,BHUJ,
JODHPUR,26617,24653,24246,22601,23655,22031,24038,25749,24343,26126,26155,27788,2015,JODHPUR,
KANPUR(Chakeri),0,0,0,0,0,14,0,8,7,33,88,33,2015,KANPUR,Chakeri)
AHMEDABAD,377504,351352,342802,380196,425985,362289,355171,360113,378121,389008,438515,455776,2015,AHMEDABAD,
GORKHPUR,0,0,0,0,0,0,0,0,590,2376,1215,0,2015,GORKHPUR,
GOA,385678,367796,380520,326321,301670,319480,355682,368685,393469,393937,417625,466049,2015,GOA,
TRICHY,10103,9764,9771,8773,15120,13196,13105,14978,13366,12115,12108,7153,2015,TRICHY,
AGATTI,0,0,0,3583,2765,2549,1734,1838,2225,2597,2264,2487,2015,AGATTI,
JABALPUR,0,0,0,9418,9780,0,20250,19843,19499,20001,19737,3194,2015,JABALPUR,
RAIPUR,81344,79270,79826,97717,109820,99449,89336,91142,87794,99791,104509,113993,2015,RAIPUR,
MUNDRA,0,0,0,0,0,0,0,0,0,0,0,0,2016,MUNDRA,
AGRA,1547,1541,1455,1021,115,0,78,120,255,1293,1649,1438,2016,AGRA,
PANTNAGAR,378,795,519,1100,885,524,864,1174,1172,1207,1578,851,2016,PANTNAGAR,
MUMBAI (MIAL),2689319,2583068,2645054,2653397,2865163,2550670,2765306,2756693,2686052,2636181,2669327,2955907,2016,MUMBAI,MIAL)
TRIVANDRUM,113330,103542,134940,122266,133954,121907,132070,132211,136827,127392,136746,143683,2016,TRIVANDRUM,
DIMAPUR,10790,8738,9926,9802,11262,11894,12389,10591,10060,12241,11957,16477,2016,DIMAPUR,
PORBANDAR,1766,1424,1325,0,0,176,187,222,183,195,168,180,2016,PORBANDAR,
IMPHAL,68722,66398,73732,70453,71246,73284,71444,66581,69690,73477,74358,83246,2016,IMPHAL,
SRINAGAR,163964,170205,198935,237565,277434,264253,209935,151772,142539,143251,94002,124543,2016,SRINAGAR,
AHMEDABAD,471780,443806,450813,420794,443740,395867,436470,463899,423967,440552,519230,540777,2016,AHMEDABAD,
CUDDAPAH,0,0,0,481,1041,254,206,335,69,214,270,72,2016,CUDDAPAH,
PORTBLAIR,83127,81419,90838,93885,102570,87393,70557,74478,76352,112997,118930,125539,2016,PORTBLAIR,
LEH,23376,26839,30108,43334,63695,69178,64929,63005,58052,41232,26706,28430,2016,LEH,
PATNA,126347,129885,155215,160930,155071,151883,165692,155647,151182,181218,215068,186704,2016,PATNA,
PONDICHERRY,0,0,0,0,13,0,0,0,0,0,0,0,2016,PONDICHERRY,
CHANDIGARH,101346,130572,143261,118855,140553,152556,144980,137254,134326,152170,159968,131880,2016,CHANDIGARH,
BHUNTAR,2032,2440,2376,2759,2394,2344,2102,1825,2307,2559,2048,566,2016,BHUNTAR,
COIMBATORE,136655,129372,126548,142251,163055,152670,168216,168032,163312,156709,161943,173565,2016,COIMBATORE,
COCHIN(CIAL),293945,267191,273043,286164,326345,273932,315940,321929,325624,334232,355452,393596,2016,COCHIN,CIAL)
JAIPUR,223830,222822,241393,246699,262532,241240,280589,279080,261191,277592,303803,304769,2016,JAIPUR,
BELGAUM,8410,7401,8406,8113,9163,8114,8379,8851,8590,8286,6439,8299,2016,BELGAUM,
HYDERABAD (GHIAL),830614,790913,824748,852645,914955,846234,954681,974079,908581,993542,1022841,1094831,2016,HYDERABAD,GHIAL)
RAIPUR,109067,101058,103248,106633,118311,111845,111409,107261,101551,111655,119351,136339,2016,RAIPUR,
GAYA,6668,7634,6389,5587,5091,4808,5214,4391,6224,6437,1009,7167,2016,GAYA,
VADODARA,87900,82443,82510,88713,106975,89320,93954,94938,86785,88594,88655,96881,2016,VADODARA,
GUWAHATI,241637,237168,248982,257877,272056,269505,293220,268525,291896,330620,327314,382618,2016,GUWAHATI,
GORKHPUR,455,1641,4944,3102,2869,2788,2867,2900,2847,9752,8808,0,2016,GORKHPUR,
VISAKHAPATNAM,163016,159164,167465,172444,182661,168558,181743,197548,177472,197219,195326,213120,2016,VISAKHAPATNAM,
HUBLI,4651,4378,3091,4419,3861,2618,2847,1061,1167,1310,1501,1838,2016,HUBLI,
JAMNAGAR,8273,7292,6830,8342,8819,7618,8420,8318,7288,6511,4713,6317,2016,JAMNAGAR,
CHENNAI,937924,921892,971769,989577,1095535,1003191,1119084,1098344,1081196,1084052,1121760,1104822,2016,CHENNAI,
RANCHI,66618,58070,62584,64797,73352,70888,75457,75349,73549,91904,97512,107375,2016,RANCHI,
DELHI (DIAL),2977333,3040618,3270267,3271591,3567065,3347942,3477225,3360871,3358251,3478193,3624668,3745169,2016,DELHI,DIAL)
GWALIOR,1227,1063,1186,1468,1244,1210,1539,1153,1142,1418,1549,1129,2016,GWALIOR,
MANGALORE,87200,91060,89193,116629,90047,79721,90678,85090,77488,79795,74150,86051,2016,MANGALORE,
SURAT,12035,11691,12695,13045,14162,12504,13850,13684,13279,14862,15194,19883,2016,SURAT,
JODHPUR,27154,26602,25617,24270,24130,23457,25263,23710,24074,22669,33247,35590,2016,JODHPUR,
BAGDOGRA,88657,78698,104604,101071,123196,126087,105735,98651,105592,125040,130530,142799,2016,BAGDOGRA,
BHUBANESWAR,180407,169532,180911,161521,174695,157959,157055,152068,156560,211539,201596,251454,2016,BHUBANESWAR,
DIU,3151,3368,2822,1687,1730,1361,1195,1240,1249,1527,1017,2084,2016,DIU,
BARAPANI (SHILLONG),292,746,1185,1005,0,1284,976,901,1085,1392,1214,1242,2016,BARAPANI,SHILLONG)
SILCHAR,16960,17019,16743,13538,14285,13478,13832,13377,12659,19851,20861,23201,2016,SILCHAR,
DIBRUGARH,26911,25443,27077,24721,25488,24833,26693,23501,20798,25127,26220,28370,2016,DIBRUGARH,
NANDED,0,0,0,0,0,0,0,0,0,0,0,0,2016,NANDED,
DEHRADUN,34736,36877,62764,70431,75550,69813,65340,64585,67325,79480,80485,73311,2016,DEHRADUN,
AMRITSAR,81174,84718,82622,84005,78262,72987,80814,81392,78572,91706,91185,88790,2016,AMRITSAR,
VIJAYAWADA,39692,39871,38432,42877,51699,48092,52263,56312,51052,56599,56645,54355,2016,VIJAYAWADA,
TIRUPATI,33837,33629,34605,37482,40926,43766,45430,45646,37828,37642,36713,42788,2016,TIRUPATI,
RAJKOT,38118,36938,31295,29021,32730,28416,33486,35594,34536,34352,32059,37717,2016,RAJKOT,
JABALPUR,1166,9926,10724,12250,11813,12307,13446,13182,13195,13772,13309,15284,2016,JABALPUR,
RAJAHMUNDRY,20318,19051,20859,23307,21791,19545,17553,21245,18636,24804,24327,22352,2016,RAJAHMUNDRY,
BHOPAL,58426,56240,52037,59264,69513,60599,61309,59398,58824,55744,51077,52865,2016,BHOPAL,
GOA,482114,449520,455157,423238,463411,439243,463183,464774,474477,482432,526830,577428,2016,GOA,
KOLKATA,905698,810572,903170,898519,1028204,975423,1057477,1010933,1048767,1214107,1180812,1359551,2016,KOLKATA,
KANPUR(Chakeri),4,10,0,21,76,0,10,48,42,37,40,874,2016,KANPUR,Chakeri)
JORHAT,4578,4061,4408,4112,4525,4179,4241,3790,3706,4056,5250,6514,2016,JORHAT,
VARANASI,132214,138824,152595,143011,137625,127980,140164,136964,132484,156610,183318,158717,2016,VARANASI,
TUTICORIN,8126,7920,7997,8354,8556,8323,8447,8724,8573,8115,7836,7873,2016,TUTICORIN,
TEZPUR,0,0,0,470,768,711,786,614,554,774,546,696,2016,TEZPUR,
KHAJURAHO,8660,9167,8816,5088,1358,1248,2131,3018,2401,6793,8415,6051,2016,KHAJURAHO,
BHAVNAGAR,3625,3055,2511,589,1750,0,486,2049,1995,2382,2861,2758,2016,BHAVNAGAR,
BANGALORE (BIAL),1365078,1330652,1379475,1485502,1634634,1458251,1617371,1583068,1511573,1701964,1729088,1825171,2016,BANGALORE,BIAL)
PUNE,456906,447998,470397,490436,544142,499713,536124,531417,513568,519945,560130,577508,2016,PUNE,
MYSORE,0,0,0,0,0,0,0,0,0,15,0,5,2016,MYSORE,
LAKHIMPUR (LILABARI),141,601,801,708,0,795,918,922,900,1075,945,956,2016,LAKHIMPUR,LILABARI)
BARAPANI,0,0,0,0,1261,0,0,0,0,0,0,0,2016,BARAPANI,
TRICHY,13028,12544,11951,12474,15043,15810,15865,15784,15414,14126,13622,13196,2016,TRICHY,
BHUJ,13356,12898,12228,14970,16024,12123,14064,14905,14899,14782,15793,18348,2016,BHUJ,
GUGGAL(KANGRA),6080,6506,8377,10191,12422,11576,9659,8924,9293,7742,7517,7489,2016,GUGGAL,KANGRA)
LAKHIMPUR,0,0,0,0,860,0,0,0,0,0,0,0,2016,LAKHIMPUR,
JUHU,16048,14132,14756,14160,14764,14458,14322,14446,14270,14984,15090,15044,2016,JUHU,
AURANGABAD,27176,26183,25593,25502,27219,26506,27552,29158,26813,24689,23767,29602,2016,AURANGABAD,
MADURAI,60202,56319,58833,59922,62323,58682,59749,55968,55627,55781,55656,57868,2016,MADURAI,
JAMMU,92146,98317,100105,92784,88204,84604,87392,94762,99678,105430,96673,101317,2016,JAMMU,
LENGPUI(AIZWAL),14863,14426,15305,15677,16339,16750,16768,16794,16018,21475,22641,25331,2016,LENGPUI,AIZWAL)
DURGAPUR,0,0,0,1787,1416,776,0,0,0,0,0,0,2016,DURGAPUR,
LUCKNOW,209789,228323,240964,238172,249974,248717,264440,263922,261328,278566,306427,306187,2016,LUCKNOW,
AGATTI,2660,2514,2794,2524,2884,2444,2040,2098,2363,2692,2318,3017,2016,AGATTI,
CALICUT,33897,27826,27135,34029,37692,33520,37499,39868,40144,35409,33184,37447,2016,CALICUT,
NAGPUR (MIPL),138082,127809,126120,130391,142720,134879,139719,139055,131674,145910,170061,182399,2016,NAGPUR,MIPL)
SHOLAPUR,0,0,0,0,0,0,0,0,0,0,0,0,2016,SHOLAPUR,
AGARTALA,85437,79979,86422,86773,97054,93449,96307,90737,97429,102226,97543,118256,2016,AGARTALA,
ALLAHABAD,3241,3560,3717,3448,3256,3212,3659,4178,3924,4557,5118,2961,2016,ALLAHABAD,
UDAIPUR,85871,86771,86299,80303,85349,78026,81274,79831,83949,91807,100419,114801,2016,UDAIPUR,
INDORE,149848,142668,141765,139700,163052,128101,134979,136429,124239,129438,147954,179671,2016,INDORE,
AGRA,1654,0,436,8,230,278,627,499,593,1339,1150,0,2017,AGRA,
PANTNAGAR,566,0,1530,1696,1674,1575,1400,1338,1485,1273,1077,0,2017,PANTNAGAR,
MUMBAI (MIAL),2951492,2585901,2636364,2631112,2994953,2744459,2773280,2827209,2711355,2901098,3000848,3112940,2017,MUMBAI,MIAL)
TRIVANDRUM,144015,120570,115530,137572,158190,150578,145164,151280,155534,156814,165153,180628,2017,TRIVANDRUM,
DIMAPUR,15073,0,12742,14206,15686,15159,13156,16230,15950,15491,15433,17238,2017,DIMAPUR,
PORBANDAR,329,0,919,746,467,441,3218,4637,4319,4678,4938,0,2017,PORBANDAR,
BHATINDA,0,0,0,871,1294,1302,1147,1292,1347,1473,1008,0,2017,BHATINDA,
IMPHAL,79965,73444,78993,77731,82376,80289,87436,80202,76901,83536,85909,86961,2017,IMPHAL,
SRINAGAR,106148,149331,188098,215418,237690,211987,233697,180054,186089,191957,168047,197064,2017,SRINAGAR,
AHMEDABAD,535050,493805,505382,545094,617059,550456,522391,561253,562299,653043,648463,702628,2017,AHMEDABAD,
CUDDAPAH,0,0,4,41,2854,2483,2848,3218,2627,2388,3261,0,2017,CUDDAPAH,
PORTBLAIR,135829,117436,121858,121073,133857,109584,76390,83737,97624,131470,124560,157060,2017,PORTBLAIR,
LEH,26928,35544,42767,42346,77810,90895,82402,76029,76620,48352,37231,39925,2017,LEH,
PATNA,185245,189968,213542,220340,249894,235257,242852,244116,242770,298521,290818,242025,2017,PATNA,
PONDICHERRY,0,0,0,0,0,0,0,0,0,0,0,0,2017,PONDICHERRY,
CHANDIGARH,130540,156587,189578,0,0,0,0,0,0,0,0,0,2017,CHANDIGARH,
BHUNTAR,1307,0,3183,2736,2734,2500,2267,1973,2197,2884,2681,0,2017,BHUNTAR,
COIMBATORE,191171,160715,163070,171649,192479,174642,171020,160754,167177,174500,183948,199558,2017,COIMBATORE,
COCHIN(CIAL),386896,327648,307159,342550,339300,356887,367994,387609,378667,403417,409693,473101,2017,COCHIN,CIAL)
JAIPUR,304865,281147,288593,302200,301542,290603,316908,341728,337934,376719,375930,405701,2017,JAIPUR,
BELGAUM,7399,8260,8660,8581,8999,8551,9107,9093,8536,14374,14418,15924,2017,BELGAUM,
HYDERABAD (GHIAL),1100983,1026493,1042748,1080938,1065930,1084587,1135005,1124138,1110439,1220747,1239827,1358551,2017,HYDERABAD,GHIAL)
RAIPUR,130130,119490,122204,101501,114965,106963,123863,127746,121732,134243,153165,162418,2017,RAIPUR,
GAYA,7598,6868,4254,3293,2960,3591,2770,3830,4984,5133,4309,6065,2017,GAYA,
VADODARA,98925,87005,83236,77708,93061,79997,73966,77129,71766,85982,86843,90838,2017,VADODARA,
GUWAHATI,382383,330546,352934,369806,381658,364474,386416,372856,382497,392835,378546,406996,2017,GUWAHATI,
GORKHPUR,0,0,11143,11822,12772,12066,12138,11936,12004,8499,0,0,2017,GORKHPUR,
VISAKHAPATNAM,210085,181583,182421,187247,221700,199826,178421,171678,168749,190724,188119,206195,2017,VISAKHAPATNAM,
HUBLI,1983,0,1524,1386,2140,2294,2557,3659,3679,3619,3573,0,2017,HUBLI,
KOLHAPUR,0,0,0,6,0,0,0,0,0,0,0,0,2017,KOLHAPUR,
JAMNAGAR,5997,0,5013,5240,6379,5587,5234,5303,5040,5857,6391,6686,2017,JAMNAGAR,
CHENNAI,1239920,1055267,1161219,1187664,1281038,1155771,1172430,1112549,1178322,1171079,1211049,1313452,2017,CHENNAI,
CHANDIGARH(JV AIRPOR,0,0,0,0,217675,0,195239,188084,0,151800,0,0,2017,CHANDIGARH,JV AIRPOR
RANCHI,100777,94183,105095,107574,123246,119448,118747,121463,119828,155345,169683,179708,2017,RANCHI,
DELHI (DIAL),3751564,3486137,3737036,3710715,4097748,3882652,3787827,3814545,3748037,4155542,4042207,4331354,2017,DELHI,DIAL)
GWALIOR,1356,0,1727,1537,1712,1986,1859,2014,1444,2625,2502,0,2017,GWALIOR,
MANGALORE,92439,78157,76652,85807,125074,111599,117425,119022,113959,130416,132953,143148,2017,MANGALORE,
SURAT,21126,0,23367,28173,40830,50625,62865,66569,60409,61968,61866,58692,2017,SURAT,
JODHPUR,39893,38314,35966,32340,33502,32934,34758,36347,34021,37592,39669,48683,2017,JODHPUR,
BIKANER,0,0,0,128,174,177,194,169,810,3609,3332,0,2017,BIKANER,
BAGDOGRA,143694,135927,177891,186293,214764,197896,142593,165609,165312,183756,175916,203477,2017,BAGDOGRA,
BHUBANESWAR,252016,209061,218099,220533,246358,217628,212422,239040,217924,268618,281154,297775,2017,BHUBANESWAR,
DIU,1926,0,1525,1559,1771,1403,1237,1536,1340,1948,1899,0,2017,DIU,
BARAPANI (SHILLONG),1102,0,999,1309,2207,1074,972,948,0,937,0,0,2017,BARAPANI,SHILLONG)
SILCHAR,22727,21161,23258,24446,25155,25216,30112,30800,31806,30480,29855,35168,2017,SILCHAR,
DIBRUGARH,28026,25270,26749,27721,28110,28349,29171,27003,25164,28541,28483,28818,2017,DIBRUGARH,
NANDED,6,0,0,269,2198,1940,1930,2513,2279,2095,2712,0,2017,NANDED,
DEHRADUN,69685,72650,93909,89679,92054,91904,89593,87696,87484,95255,86472,92291,2017,DEHRADUN,
AMRITSAR,94447,87354,98803,110531,114987,115030,120527,124537,123239,159311,160150,162932,2017,AMRITSAR,
VIJAYAWADA,51408,49906,51148,54659,53568,52926,59716,63386,62011,62047,58220,56871,2017,VIJAYAWADA,
LUDHIANA,0,0,0,0,8,10,0,13,2056,1886,656,0,2017,LUDHIANA,
TIRUPATI,41103,36951,39754,41811,41882,42242,52486,52236,43840,44227,42053,41779,2017,TIRUPATI,
RAJKOT,38585,35887,33135,28322,28733,26764,31044,30136,27461,28931,30090,33845,2017,RAJKOT,
JABALPUR,17054,16422,17960,17404,19002,17743,17716,17766,18358,17840,18453,21486,2017,JABALPUR,
RAJAHMUNDRY,24871,22394,20523,20627,23133,21408,19798,21404,18579,17132,16598,16372,2017,RAJAHMUNDRY,
BHOPAL,47087,47232,51487,50192,60188,56524,56395,59506,54997,61840,61538,64572,2017,BHOPAL,
GOA,615843,549790,570953,528104,559169,539589,528251,532481,503904,567796,568706,618056,2017,GOA,
KOLKATA,1336962,1169993,1255713,1268187,1422796,1314802,1257092,1330204,1395782,1524034,1466433,1608851,2017,KOLKATA,
KANPUR(Chakeri),604,0,948,798,1100,0,0,0,0,0,0,0,2017,KANPUR,Chakeri)
JORHAT,6465,0,5638,6388,6073,5791,5981,6355,5590,5607,6762,6713,2017,JORHAT,
CHANDIGARH  (JV AIRPORT),0,0,0,200912,0,203293,0,0,180319,0,153091,139807,2017,CHANDIGARH,JV AIRPORT)
VARANASI,170304,171290,153150,128153,128597,144180,143944,144312,137983,166791,174855,170431,2017,VARANASI,
GORAKHPUR,0,0,0,0,0,0,0,0,0,0,5352,0,2017,GORAKHPUR,
TUTICORIN,8615,0,10691,8105,7917,7909,8741,8159,8135,8037,7441,7799,2017,TUTICORIN,
TEZPUR,656,0,712,776,768,663,570,678,590,833,742,0,2017,TEZPUR,
KHAJURAHO,8161,0,7058,3205,1236,1135,2036,2675,2423,6383,7913,5674,2017,KHAJURAHO,
BHAVNAGAR,2676,0,2325,2585,2566,2636,2593,2724,2870,3089,2872,0,2017,BHAVNAGAR,
BANGALORE (BIAL),1802314,1493490,1439540,1504943,1847667,1757678,1796729,1829612,1791883,1961737,1951875,2136680,2017,BANGALORE,BIAL)
PUNE,596653,564861,577508,580176,647432,623947,629128,651608,625006,668284,680771,714714,2017,PUNE,
MYSORE,6,0,5,0,0,0,0,0,0,0,0,0,2017,MYSORE,
LAKHIMPUR (LILABARI),1054,0,970,1104,1144,961,1038,973,0,1244,0,0,2017,LAKHIMPUR,LILABARI)
BARAPANI,0,0,0,0,0,0,0,0,1131,0,1014,0,2017,BARAPANI,
TRICHY,13843,11811,11882,9429,9632,9974,9631,9648,11833,12007,11128,12975,2017,TRICHY,
BHUJ,18534,17266,14803,5056,10236,12583,13739,14167,13868,15141,16570,17635,2017,BHUJ,
GUGGAL(KANGRA),6920,0,8997,11326,12957,12423,12517,12620,12707,12508,8796,11152,2017,GUGGAL,KANGRA)
SHIMLA,0,0,0,172,1048,853,743,595,930,365,982,0,2017,SHIMLA,
LAKHIMPUR,0,0,0,0,0,0,0,0,1067,0,1249,0,2017,LAKHIMPUR,
JUHU,15278,12724,14986,17302,14088,13226,13072,12796,14004,13888,13960,13706,2017,JUHU,
JAISALMER,0,0,0,0,0,0,0,0,0,664,6205,0,2017,JAISALMER,
AURANGABAD,28780,27161,27827,25547,26414,25232,29433,28236,27517,26436,30137,31037,2017,AURANGABAD,
MADURAI,60721,56453,72384,97285,93410,84290,82781,81489,81985,87816,92505,102793,2017,MADURAI,
JAMMU,90203,100183,118707,113247,111369,116914,111420,106085,119218,121963,129447,131550,2017,JAMMU,
LENGPUI(AIZWAL),23226,0,23734,22366,25420,25040,27133,27549,26333,22996,24150,0,2017,LENGPUI,AIZWAL)
DURGAPUR,15,0,1415,1548,1629,1443,474,181,92,10,0,0,2017,DURGAPUR,
LUCKNOW,306896,287272,295450,289634,305857,303019,286694,301208,290914,323722,340220,374561,2017,LUCKNOW,
AGATTI,3207,0,2497,2888,3916,2619,2803,2928,4002,3288,3154,0,2017,AGATTI,
CALICUT,38822,33064,39302,46012,46012,36805,40562,46536,41640,41966,39360,44178,2017,CALICUT,
NAGPUR (MIPL),173060,145859,146485,145138,174351,166272,152245,159983,146423,163162,175903,209235,2017,NAGPUR,MIPL)
AGARTALA,111539,92584,99970,102567,119259,103408,108106,112502,102326,116220,112308,125352,2017,AGARTALA,
ALLAHABAD,3456,0,3846,3637,4064,3599,4050,4030,3970,4045,3585,3800,2017,ALLAHABAD,
UDAIPUR,111015,93238,89887,77066,77902,77427,79675,85831,81373,88893,107559,118235,2017,UDAIPUR,
INDORE,175602,159424,163996,169658,187134,180888,178541,180139,168513,182196,192608,211699,2017,INDORE,
KOLKATA,1613646,1490946,1612976,1553971,1638225,1555156,1560646,1498055,1470304,1660866,1598921,1686133,2018,KOLKATA,
GORAKHPUR,0,5977,9302,14547,15189,13829,14378,14243,21283,22949,23834,24401,2018,GORAKHPUR,
AMRITSAR,164297,162880,167462,142076,128814,123733,129990,125752,131106,143240,148238,176898,2018,AMRITSAR,
SALEM,0,0,0,3738,3799,3380,3275,3429,3293,3515,3223,3646,2018,SALEM,
IMPHAL,85521,75625,85019,95663,98742,104147,106538,98542,98944,107444,110535,128370,2018,IMPHAL,
PORBANDAR,5051,4345,4499,3992,4866,4323,4178,4689,4766,4501,4736,5756,2018,PORBANDAR,
ADAMPUR (JALANDHAR),0,0,0,0,3964,3498,3757,3950,0,4264,4085,4192,2018,ADAMPUR,JALANDHAR)
BHOPAL,66447,60463,66068,69237,69619,65039,56100,56182,56838,57091,63949,71928,2018,BHOPAL,
MANGALORE,145531,132476,142592,153193,157711,137096,131980,136350,125993,127264,117822,124419,2018,MANGALORE,
DELHI,0,4065409,4434031,4383869,4420077,4276157,4351957,4283128,0,4303012,4037360,4370713,2018,DELHI,
KHAJURAHO,7720,8634,7397,4226,1524,1660,2181,2641,2559,5914,7225,6011,2018,KHAJURAHO,
COIMBATORE,191854,201119,211494,225837,241292,226518,213535,219729,219773,221591,238593,256332,2018,COIMBATORE,
KISHANGARH,0,0,0,0,0,0,0,0,0,0,4151,3909,2018,KISHANGARH,
PATNA,236756,277927,329997,331739,336053,349477,353649,349169,339481,375076,359687,318565,2018,PATNA,
JAMNAGAR,6801,6496,6923,6182,6762,5917,6974,7035,6710,6878,7064,7492,2018,JAMNAGAR,
MUMBAI,0,2917790,3105654,3020411,3083721,2873863,2993363,2948251,0,2819341,2832982,3046880,2018,MUMBAI,
BHUBANESWAR,327750,295555,334159,316697,349292,338182,313793,322027,343420,352671,314760,372077,2018,BHUBANESWAR,
BARAPANI,651,838,896,0,0,0,0,0,1149,0,0,0,2018,BARAPANI,
RANCHI,176907,180396,199749,203141,209661,176281,177025,173079,154184,186702,178586,198673,2018,RANCHI,
DIU,1980,1779,2064,1965,2570,2029,1592,1972,2007,1868,2252,2455,2018,DIU,
SHIRDI,0,0,0,6169,5593,5594,6850,6968,8724,15753,23343,24740,2018,SHIRDI,
VARANASI,183631,193690,220049,199676,213741,194497,203656,191017,196660,215190,243886,211323,2018,VARANASI,
MUNDRA,0,57,67,306,222,134,0,13,0,182,0,0,2018,MUNDRA,
VIJAYAWADA,64528,63484,94976,97578,107964,101821,105316,97914,91697,99338,88953,99829,2018,VIJAYAWADA,
BANGALORE,0,2089470,2225771,2285077,2358276,2296655,2399010,2377057,0,2457167,2426691,2644995,2018,BANGALORE,
BANGALORE (BIAL),2202335,0,0,0,0,0,0,0,2295397,0,0,0,2018,BANGALORE,BIAL)
PUNE,706234,668425,696009,727429,762191,762335,743367,739376,709400,747483,723070,756288,2018,PUNE,
MADURAI,115407,105280,115678,109060,116454,110401,102220,105510,89171,94862,92031,95913,2018,MADURAI,
GWALIOR,2441,2272,2140,2494,2142,2060,1906,2143,1867,2275,2233,2225,2018,GWALIOR,
HYDERABAD (GHIAL),1403049,0,0,0,0,0,0,0,1411773,0,0,0,2018,HYDERABAD,GHIAL)
BARAPANI (SHILLONG),0,0,0,1479,1817,1145,840,995,0,1284,987,1054,2018,BARAPANI,SHILLONG)
LEH,37816,40418,42166,60152,95504,98330,96537,91145,88840,64636,45838,48110,2018,LEH,
JALGAON,0,0,0,201,526,269,9,250,0,0,0,0,2018,JALGAON,
TRIVANDRUM,182924,165410,166880,163229,175264,163142,176811,212864,153950,135723,149579,157324,2018,TRIVANDRUM,
JAISALMER,8345,3775,7468,5694,3795,1859,3018,3760,3679,7672,7742,25223,2018,JAISALMER,
GUGGAL(KANGRA),8630,11821,11774,12159,14593,11075,8291,10411,12058,12076,9875,10179,2018,GUGGAL,KANGRA)
COCHIN(CIAL),503516,431932,408401,446215,467572,402288,432820,219091,417792,414167,432859,542726,2018,COCHIN,CIAL)
TUTICORIN,7780,7831,8289,8228,8527,8283,12600,19623,18535,19502,14086,17245,2018,TUTICORIN,
AURANGABAD,31256,28377,30477,30756,29863,25746,27313,28265,28185,28934,31292,35018,2018,AURANGABAD,
LAKHIMPUR,1077,1155,994,0,0,0,0,0,0,0,0,0,2018,LAKHIMPUR,
JABALPUR,19708,17966,19472,20161,21250,18194,16542,16059,15433,16651,18812,20461,2018,JABALPUR,
RAJAHMUNDRY,27186,29474,36290,35897,39673,36710,43199,43247,42774,43096,35886,36522,2018,RAJAHMUNDRY,
VISAKHAPATNAM,212554,195069,226292,219838,233939,217345,224437,224950,214967,234385,210844,252977,2018,VISAKHAPATNAM,
UDAIPUR,121019,117840,114031,103760,96056,92997,98777,100540,102111,107184,132655,156161,2018,UDAIPUR,
