Airports1,Passengers(Jan),Passengers(Feb),Passengers(Mar),Passengers(Apr),Passengers(May),Passengers(Jun),Passengers(Jul),Passengers(Aug),Passengers(Sep),Passengers(Oct),Passengers(Nov),Passengers(Dec),Total,Percent,Year
MUMBAI,1794579,1701361,1692937,1653788,1938684,1735089,1687202,1676063,1580176,1748084,1854209,1901803,20963975,0,2011
MUMBAI,1869016,1748267,1651227,1751772,1825668,1647164,1476792,1507970,1395597,1538283,1811259,1928503,20151518,-3.87549117,2012
MUMBAI,1862373,1751411,1780159,1780940,1992150,1689259,1703153,1915069,1656203,1724398,1889104,2007117,21751336,7.938945344,2013
MUMBAI,1866477,1802769,1854047,1891997,2155202,1939099,1767718,1995326,2030720,2124552,2093230,2343268,23864405,9.714663044,2014
MUMBAI,2311493,2254077,2298593,2418961,2567032,2268381,2329524,2392728,2372492,2419774,2589297,2770303,28992655,21.48911737,2015
MUMBAI,2689319,2583068,2645054,2653397,2865163,2550670,2765306,2756693,2686052,2636181,2669327,2955907,32456137,11.94606703,2016
MUMBAI,2951492,2585901,2636364,2631112,2994953,2744459,2773280,2827209,2711355,2901098,3000848,3112940,33871011,4.359341964,2017
MUMBAI,3129079,2917790,3105654,3020411,3083721,2873863,2993363,2948251,2847387,2819341,2832982,3046880,35618722,5.159902077,2018
MUMBAI,2984842,2529642,2412096,2328891,2839095,2891923,2867461,2965436,2841489,2914226,3074219,3118558,33767878,-5.196267289,2019
